epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.298,1.90022,2.24188,1.48841,1.39014,0.32062,0.5073,0.40283,0.23889,0.30674,0.4938,0.39495,0.22039,1.86062,2.78368,1.52838,1.30837,0.00022864,0.00022864,0.00022864
2,517.312,1.90132,2.34052,1.5158,1.40548,0.31616,0.56934,0.37678,0.20462,0.31046,0.56182,0.37146,0.19719,1.9007,2.58761,1.46875,1.315,0.000462233,0.000462233,0.000462233
3,686.46,2.00014,2.49166,1.52211,1.49016,0.39557,0.46173,0.36398,0.19695,0.39335,0.46126,0.36228,0.1741,2.12037,2.87474,1.69149,1.42097,0.000686206,0.000686206,0.000686206
4,863.079,2.01359,2.4823,1.57157,1.4634,0.35383,0.51475,0.34737,0.18593,0.35127,0.49907,0.33727,0.16542,1.85689,2.63196,1.64993,1.32029,0.000900559,0.000900559,0.000900559
5,1054.16,1.94217,2.40998,1.58029,1.36446,0.2382,0.56307,0.2472,0.12732,0.22794,0.53501,0.23888,0.11156,1.90164,2.63833,2.35683,1.30431,0.00110529,0.00110529,0.00110529
6,1293.58,1.99723,2.48819,1.6196,1.40999,0.19945,0.42544,0.15761,0.06784,0.17773,0.40473,0.14099,0.05657,2.08857,3.41411,2.39734,1.394,0.00128753,0.00128753,0.00128753
7,1472.18,2.03542,2.84293,1.66871,1.45274,0.26582,0.36541,0.1889,0.0853,0.26342,0.36416,0.18585,0.07762,2.01946,2.86597,2.5,1.37553,0.00125923,0.00125923,0.00125923
8,1769.46,2.03934,2.86902,1.6458,1.43449,0.24639,0.44694,0.27967,0.15099,0.2182,0.40996,0.23089,0.0996,1.91683,3.27582,1.81791,1.33411,0.00123094,0.00123094,0.00123094
9,1999.44,1.97406,2.75208,1.65647,1.4343,0.28815,0.57134,0.43218,0.23916,0.27158,0.56357,0.42115,0.22654,1.91285,2.64932,1.55641,1.32778,0.00120265,0.00120265,0.00120265
10,2145.57,1.98857,2.60742,1.61328,1.4495,0.33906,0.48481,0.38431,0.1933,0.3609,0.39404,0.35785,0.15905,2.00224,2.82977,1.50286,1.37553,0.00117435,0.00117435,0.00117435
11,2305.71,2.0175,2.64594,1.64393,1.48337,0.34465,0.53898,0.40428,0.22637,0.33276,0.51916,0.38451,0.18986,1.86704,2.72091,1.47494,1.30629,0.00114606,0.00114606,0.00114606
12,2578.41,1.97183,2.49021,1.57314,1.43142,0.3461,0.60612,0.3582,0.16827,0.35816,0.60273,0.36384,0.17283,2.01442,2.67031,1.54947,1.35056,0.00111776,0.00111776,0.00111776
13,2724.8,1.98921,2.50989,1.64373,1.48966,0.36836,0.59951,0.36801,0.1742,0.37786,0.59364,0.36817,0.17221,1.97184,2.62867,1.69214,1.36795,0.00108947,0.00108947,0.00108947
14,2886.95,1.93683,2.56288,1.55884,1.40302,0.37117,0.61614,0.44047,0.2454,0.37934,0.59085,0.43621,0.22329,1.86522,2.42157,1.54841,1.30224,0.00106118,0.00106118,0.00106118
15,3041.04,1.90272,2.39133,1.50788,1.40329,0.41711,0.52778,0.4496,0.2564,0.4169,0.50763,0.43747,0.21673,1.93702,2.73804,1.48076,1.32637,0.00103288,0.00103288,0.00103288
16,3236.69,1.89655,2.38954,1.47198,1.3694,0.49783,0.51676,0.4462,0.27057,0.49255,0.50509,0.43987,0.24669,1.76973,2.40895,1.32954,1.26214,0.00100459,0.00100459,0.00100459
17,4159.96,1.90112,2.33671,1.47214,1.3792,0.26162,0.28615,0.18108,0.09471,0.25654,0.28182,0.17684,0.09412,2.01907,14.8532,inf,1.4283,0.000976293,0.000976293,0.000976293
18,4327.43,1.90461,2.36705,1.48836,1.43318,0.38552,0.53861,0.41205,0.21057,0.38762,0.54763,0.41278,0.21459,1.90329,2.53821,1.43035,1.3193,0.000947999,0.000947999,0.000947999
19,4487.97,1.88501,2.33847,1.44303,1.38426,0.45075,0.53866,0.42521,0.24377,0.4576,0.51185,0.41844,0.22344,1.92498,53.2248,1.46686,1.36917,0.000919704,0.000919704,0.000919704
20,4652.35,1.86205,2.32068,1.46086,1.40997,0.46772,0.58491,0.49867,0.2949,0.4753,0.57547,0.49571,0.27378,1.83153,2.44377,1.34261,1.30005,0.00089141,0.00089141,0.00089141
21,4857.36,1.88925,2.34567,1.4073,1.37172,0.48019,0.51345,0.48343,0.28338,0.47726,0.50317,0.47533,0.24809,1.96434,5.91658,1.48327,1.36159,0.000863116,0.000863116,0.000863116
22,5069.14,1.84444,2.26114,1.42679,1.40292,0.43836,0.56155,0.51497,0.31278,0.46912,0.50369,0.50461,0.29816,1.82112,2.37519,1.39043,1.27759,0.000834822,0.000834822,0.000834822
23,5204.48,1.8959,2.33437,1.47104,1.40199,0.42366,0.5503,0.4885,0.29791,0.42572,0.53568,0.47781,0.28265,1.84326,2.38336,1.45731,1.28733,0.000806528,0.000806528,0.000806528
24,5387.18,1.86255,2.27646,1.51516,1.4003,0.45914,0.58663,0.49393,0.30506,0.4664,0.56508,0.48816,0.28462,1.80197,2.30114,1.39037,1.26906,0.000778233,0.000778233,0.000778233
25,5587.68,1.82989,2.24668,1.42557,1.36993,0.5552,0.50575,0.49283,0.31261,0.55469,0.50527,0.48874,0.27977,1.824,2.32759,1.32976,1.27329,0.000749939,0.000749939,0.000749939
26,5806.38,1.85713,2.28677,1.42474,1.36801,0.57858,0.53713,0.50289,0.31737,0.5728,0.5238,0.49141,0.27279,1.80775,2.2979,1.34343,1.26598,0.000721645,0.000721645,0.000721645
27,5941.72,1.84349,2.19016,1.45343,1.33363,0.56068,0.54623,0.52187,0.31737,0.5859,0.51546,0.51718,0.28929,1.80354,2.26176,1.33153,1.26241,0.000693351,0.000693351,0.000693351
28,6110.78,1.80857,2.20629,1.36766,1.31049,0.53299,0.55301,0.54216,0.3227,0.54396,0.56086,0.54983,0.30267,1.84579,2.32163,1.29295,1.27242,0.000665057,0.000665057,0.000665057
29,6296.87,1.84663,2.26725,1.37831,1.33519,0.49772,0.58416,0.54237,0.33619,0.50696,0.59513,0.54804,0.31604,1.80846,2.30614,1.2757,1.25799,0.000636762,0.000636762,0.000636762
30,6456.17,1.76534,2.19201,1.33451,1.32375,0.50112,0.56867,0.51881,0.32907,0.5107,0.57641,0.52016,0.30328,1.77239,2.26604,1.31035,1.24411,0.000608468,0.000608468,0.000608468
31,6605.42,1.79671,2.2023,1.36811,1.31986,0.51413,0.57307,0.51662,0.32998,0.50457,0.54077,0.50402,0.28207,1.81163,2.29564,1.37174,1.2612,0.000580174,0.000580174,0.000580174
32,6909.52,1.80359,2.23231,1.39784,1.36106,0.5361,0.5133,0.50256,0.31737,0.54876,0.48765,0.48842,0.27953,1.79947,2.29778,1.39404,1.25854,0.00055188,0.00055188,0.00055188
33,7086.69,1.89473,2.25401,1.41116,1.41561,0.50129,0.51561,0.48342,0.31179,0.51745,0.49791,0.47378,0.2797,1.77944,2.25994,1.38924,1.2596,0.000523586,0.000523586,0.000523586
34,7252.2,1.79808,2.17656,1.35427,1.33644,0.5477,0.50837,0.48776,0.31239,0.5542,0.49555,0.48287,0.29218,1.78468,2.25863,1.36779,1.26164,0.000495291,0.000495291,0.000495291
35,7423.58,1.83638,2.1958,1.4045,1.35861,0.59584,0.52137,0.51198,0.32373,0.60033,0.51349,0.50611,0.30651,1.78386,2.26249,1.31542,1.25794,0.000466997,0.000466997,0.000466997
36,7591.47,1.76245,2.13794,1.32164,1.33472,0.59855,0.54353,0.53658,0.33392,0.60255,0.5358,0.53371,0.31443,1.78073,2.26583,1.27089,1.24801,0.000438703,0.000438703,0.000438703
37,7746.24,1.77537,2.17097,1.31522,1.32548,0.55073,0.52372,0.52245,0.32398,0.55558,0.50835,0.5172,0.29541,1.79038,2.27928,1.2878,1.2479,0.000410409,0.000410409,0.000410409
38,7908.08,1.76224,2.12032,1.31672,1.34275,0.48822,0.56972,0.51999,0.33671,0.48713,0.56463,0.51581,0.30029,1.75414,2.25369,1.29958,1.24135,0.000382115,0.000382115,0.000382115
39,8062.05,1.76899,2.15483,1.32119,1.33496,0.5271,0.59105,0.52042,0.33116,0.5264,0.57598,0.51779,0.30294,1.7746,2.26874,1.31763,1.25179,0.00035382,0.00035382,0.00035382
40,8204.83,1.80089,2.17132,1.34619,1.36591,0.52258,0.586,0.5112,0.32425,0.51622,0.577,0.50907,0.30289,1.79319,2.27061,1.35182,1.25921,0.000325526,0.000325526,0.000325526
41,8284.85,1.83432,2.211,1.45103,1.3803,0.52467,0.54472,0.49527,0.31787,0.54918,0.50049,0.49215,0.29395,1.7981,2.26237,1.37881,1.25695,0.000297232,0.000297232,0.000297232
42,8378.71,1.783,2.15738,1.38574,1.35024,0.51704,0.47486,0.45823,0.30778,0.52294,0.45475,0.44957,0.28034,1.78051,2.26091,1.49583,1.25023,0.000268938,0.000268938,0.000268938
43,8744.49,1.78941,2.18012,1.40802,1.36386,0.45703,0.52018,0.45143,0.30019,0.44578,0.4917,0.44043,0.27122,1.76915,2.27108,1.51279,1.23993,0.000240644,0.000240644,0.000240644
44,8839.59,1.75441,2.14096,1.37696,1.36634,0.46144,0.53027,0.47329,0.30854,0.47163,0.51012,0.46704,0.27691,1.76582,2.2722,1.42802,1.23742,0.000212349,0.000212349,0.000212349
45,9145.8,1.78078,2.17067,1.35267,1.35064,0.45253,0.56673,0.50007,0.32522,0.46485,0.53546,0.50234,0.29507,1.76022,2.26338,1.3624,1.23415,0.000184055,0.000184055,0.000184055
46,9261.93,1.7658,2.12362,1.32097,1.33306,0.47666,0.56088,0.49993,0.32356,0.48827,0.56342,0.50891,0.29824,1.76231,2.25327,1.34257,1.2378,0.000155761,0.000155761,0.000155761
47,9369.58,1.76799,2.13229,1.33073,1.37045,0.47034,0.56606,0.50663,0.32514,0.49336,0.56854,0.51355,0.29959,1.7571,2.25054,1.32648,1.23393,0.000127467,0.000127467,0.000127467
48,9474.2,1.73324,2.10296,1.28087,1.31198,0.50374,0.56239,0.51504,0.32908,0.51247,0.5657,0.51866,0.30181,1.75923,2.24784,1.31299,1.2345,9.91726e-05,9.91726e-05,9.91726e-05
49,9676.3,1.79335,2.13175,1.28314,1.37194,0.52951,0.53452,0.51582,0.33082,0.53669,0.54108,0.51837,0.30168,1.75843,2.24868,1.31473,1.23426,7.08784e-05,7.08784e-05,7.08784e-05
50,9800.64,1.73624,2.08358,1.26737,1.3046,0.53699,0.52738,0.51792,0.33053,0.54234,0.5322,0.51701,0.2985,1.76111,2.25096,1.31546,1.23339,4.25842e-05,4.25842e-05,4.25842e-05
